customer_id,name,date_of_birth,gender,email,phone,start_date
1,Lisa Thompson,1962-05-24,M,wadeerin@example.com,3342331444,2024-09-14
2,Gail Friedman,2026-05-25 19:18:46.871131,M,pmonroe@example.com,3410529190,2025-12-12
3,Jessica Lucas,1947-01-23,F,robinsonmichael@example.org,4460967357,2023-10-29
4,Scott Stevens II,1986-01-09,M,erinstewart@example.org,1438989805,2022-11-25
5,Elizabeth Hansen,1982-07-21,F,maureensnow@example.com,8429141456,2022-01-18
6,Emily Romero,1946-06-06,Male,goodmanroger@example.com,8995970241,2023-06-27
7,Amanda Ramos,1987-12-30,M,steelesavannah@example.org,5231494220,2022-08-12
8,Morgan Andersen,1989-11-24,F,torrestina@example.net,2566942273,2021-05-22
9,Jennifer Sampson,1962-05-06,F,xgardner@example.org,9896606039,2022-09-26
10,Molly West,1985-02-13,Male,mendezcarolyn@example.net,1240251661,2022-10-18
11,Steven Bowen,1967-05-11,F,benjaminvasquez@example.org,2351531223,2025-10-10
12,Rebecca Carroll,1954-12-18,T,leslie91@example.com,7805745017,2022-10-26
13,Connie Kelly,1961-01-10,M,invalid_email_format,3119634399,2025-01-27
14,Emily Brown,1998-09-27,M,lindseyclayton@example.org,5567816720,2025-10-16
15,Alyssa Johnson,1952-05-08,T,amymason@example.com,5047709743,2024-05-18
16,Patrick Day,2028-08-13 19:18:46.871131,T,brookegreen@example.com,2461042543,2024-03-04
17,Scott Miller,2026-02-22 19:18:46.871131,T,grayelizabeth@example.org,4919706735,2025-11-01
18,Ann Torres,1972-05-25,T,invalid_email_format,4944899549,2022-01-01
19,Rachel Smith,1951-05-22,M,cprice@example.org,930659,2021-10-21
20,Courtney Reyes,1963-05-05,Male,isaacowens@example.com,1540137296,2025-01-03
21,Joseph Forbes,1989-05-29,M,boydzachary@example.org,6633778586,2021-12-09
22,Megan Cruz,1952-03-15,F,jamesmata@example.com,32056,2025-06-08
23,Jessica Dean,2000-04-25,M,invalid_email_format,42938,2025-01-27
24,Penny Ramirez,2001-01-27,M,rebekah85@example.net,3084839399,2023-06-30
25,Melanie Nelson,2003-08-20,T,john58@example.com,700993,2023-10-12
26,Richard Haynes,1962-05-06,F,christinaramirez@example.net,9822598054,2021-07-27
27,Benjamin Baxter,1964-10-29,M,tfernandez@example.org,4700855390,2023-07-28
28,Norman Shelton,2027-05-24 19:18:46.871131,M,reidcynthia@example.org,4965395580,2024-09-21
29,Justin Abbott,1949-07-14,,stacy08@example.org,4590711152,2023-02-21
30,Jessica Bonilla,1992-07-31,Male,christine97@example.org,9008612465,2025-08-22
31,Blake Green,2026-02-21 19:18:46.871131,F,amy51@example.org,7249213370,2024-06-13
32,Seth Cruz,1979-01-24,T,umartinez@example.com,6110572428,2022-11-18
33,Kathryn Browning,2028-03-13 19:18:46.871131,Male,invalid_email_format,7803990970,2024-09-14
34,Robert Johnson,1983-06-22,,invalid_email_format,1798112150,2023-06-08
35,Todd Mcclure,2005-07-13,M,jacob87@example.com,3446737272,2025-07-01
36,Anthony Horn,2026-05-13 19:18:46.871131,F,salazarolivia@example.com,2119980130,2021-10-05
37,Kenneth Garcia,1975-04-01,F,emilychavez@example.com,6583444930,2021-07-07
38,Jonathan Raymond,1967-10-04,,alexanderpennington@example.net,233508,2021-10-10
39,Dawn Fox,1996-10-01,M,tracy43@example.org,4776436931,2022-06-03
